type,typeId,x,y,w,h,p0,p1,p2,p3,p4,p5,text,spriteId,rotation,flipX,flipY
platforms,0,1000,500,100,100,0,0,0,0,0,0,"",None,0,0,0
platforms,0,1100,400,300,400,0,0,0,0,0,0,"",None,0,0,0
platforms,0,1400,500,200,100,0,0,0,0,0,0,"",None,0,0,0
platforms,0,2400,400,100,600,0,0,0,0,0,0,"",None,0,0,0
platforms,0,2800,400,100,600,0,0,0,0,0,0,"",None,0,0,0
platforms,0,3600,600,200,600,0,0,0,0,0,0,"",None,0,0,0
platforms,0,4450,500,200,70,0,0,0,0,0,0,"",None,0,0,0
platforms,0,5200,550,1200,400,0,0,0,0,0,0,"",None,0,0,0
platforms,0,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
hazards,2,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
hazards,2,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
hazards,2,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
breakableBlocks,5,1200,200,50,50,0,0,0,0,0,0,"",None,0,0,0
breakableBlocks,5,1300,200,50,50,0,0,0,0,0,0,"",None,0,0,0
itemBlocks,9,1250,200,50,50,0,0,0,0,0,0,"",None,0,0,0
itemBlocks,9,2750,400,50,50,0,0,0,0,0,0,"",None,0,0,0
itemBlocks,9,4550,330,50,50,0,0,0,0,0,0,"",None,0,0,0
itemBlocks,9,0,0,0,0,0,0,0,0,0,0,"",None,0,0,0
movePlatformsX,20,0,0,0,0,200,200,0,0,0,0,"",None,0,0,0
upDouwnPlatforms,32,4000,413.299,200,50,150,200,200,0.5,0,0,"",None,0,0,0
platforms,0,0,600,1100,200,0,0,0,0,0,0,"",None,0,0,0
magnets,16,1840,160,80,80,500,400,0,0,0,0,"",None,0,0,0
magnets,16,2160,160,80,80,500,200,0,0,0,0,"",None,0,0,0
magnets,16,1440,240,80,80,100,400,0,0,0,0,"",None,0,0,0
hazards,2,600,300,300,300,0,10,0,0,0,0,"",Douka,0,0,0
decorSprites,54,550,160,490,490,5,0,0,0,0,0,"",enemy_muteki,0,0,0
eventChangers,56,250,300,300,300,5,59,-1,1,0,10,"",None,0,0,0
distanceTriggerPieces,59,710,320,50,50,10,80,30,0,0,0,"",mu,0,0,0
[ENEMIES]
enemyTypeId,posX,posY,p0,p1,p2,p3,p4,p5
